ItemKey,SourceId,ItemSetId,ItemId,ProductMasterId,ItemMapSource,VMID,MMID,ItemDesc,VendorDesc,ManufacturerDesc
51020EB6-500B-3ECA-DAAA-FB9B7171E470,VCHAPS,SET00,00108786,1,VMID,ZLB00I0310,ZLB00I0310,IMPLANT OPHTHALMOLOGY TECNIS LENS INTRAOCULAR ASPHERIC+3.25 MULTIFOCAL+31.00 D 6.0MM,ABBOTT,ADVANCED MEDICAL OPTICS
D62B0EAE-5D26-53A0-99FC-C689953B4121,VCHAPS,SET00,00108790,2,VMID,ZLB00I0330,ZLB00I0330,IMPLANT OPHTHALMOLOGY TECNIS LENS INTRAOCULAR ASPHERIC+3.25 MULTIFOCAL+33.00 D 6.0MM,ABBOTT,ADVANCED MEDICAL OPTICS
19ECB4AF-0D73-9C31-E009-0200EDA5E812,VCHAPS,SET00,00108792,3,VMID,ZLB00I0340,ZLB00I0340,IMPLANT OPHTHALMOLOGY TECNIS LENS INTRAOCULAR ASPHERIC+3.25 MULTIFOCAL+34.00 D 6.0MM,ABBOTT,ADVANCED MEDICAL OPTICS
31AF5181-C0E4-3492-B947-AF1668AF27DC,IHA,NULL,93995,4,VMID,ZMA00U0065,ZMA00U0065,LENS FOLD ZMA00U.06.5D N/STD MULTIFOCAL ACRYLIC TECNIS MF LENS INOCULAR FOLDING,ABBOTT,AMO
F9991DE3-8C7B-5C15-A76D-F5C79137B114,FHA,NULL,484181,4,VMID,ZMA00U0065,ZMA00U0065,LENS IOL TECNIS ZMA00U 6.5D 3PC ASPHERIC MULTIFOCAL MF LENS IOL ASPHERIC MULTIFOCAL,ABBOTT,ABBOTT
B7996E81-DFDB-A13C-0E86-056C09029279,VCHAPS,SET00,00091990,4,VMID,ZMA00U0065,ZMA00U0065,IMPLANT OPHTHALMOLOGY LENS INTRAOCULAR FOLDABLE TECNIS MF ASPHERIC MULTIFOCAL THREE PIECE 6.5 DIOPTER 6.0MM X 13MM ACRYLIC,ABBOTT,ADVANCED MEDICAL OPTICS
AABC72EC-2891-772B-601E-8618EEC27CD3,IHA,NULL,93798,4,VMID,ZMA00U0065,ZMA00U0065,LENS FOLD ZMA00U.06.5D N/STD MULTIFOCAL ACRYLIC TECNIS MF LENS INOCULAR FOLDING,ABBOTT,AMO
ED68046C-6911-8D47-D848-F0EE181396C8,IHA,NULL,93802,5,VMID,ZMA00U0085,ZMA00U0085,LENS FOLD ZMA00U.08.5D N/STD MULTIFOCAL ACRYLIC TECNIS MF LENS INOCULAR FOLDING,ABBOTT,AMO
2B97E30D-4A50-3BF4-6AD5-173058693403,VCHAPS,SET00,00091994,5,VMID,ZMA00U0085,ZMA00U0085,IMPLANT OPHTHALMOLOGY LENS INTRAOCULAR FOLDABLE TECNIS MF ASPHERIC MULTIFOCAL THREE PIECE 8.5 DIOPTER 6.0MM X 13MM ACRYLIC,ABBOTT,ADVANCED MEDICAL OPTICS
BFA0826E-D55C-100D-D8A4-8DDC1BA1DCD9,IHA,NULL,93999,5,VMID,ZMA00U0085,ZMA00U0085,LENS FOLD ZMA00U.08.5D N/STD MULTIFOCAL ACRYLIC TECNIS MF LENS INOCULAR FOLDING,ABBOTT,AMO
71AB58BB-10A5-6A1F-4F01-8F5CE80EAB8C,FHA,NULL,484186,5,VMID,ZMA00U0085,ZMA00U0085,LENS IOL TECNIS ZMA00U 8.5D 3PC ASPHERIC MULTIFOCAL MF LENS IOL ASPHERIC MULTIFOCAL,ABBOTT,ABBOTT
CF2D04CD-829D-D50A-12CE-905923AC3BFE,FHA,NULL,484192,6,VMID,ZMA00U0110,ZMA00U0110,LENS IOL TECNIS ZMA00U 11.0D 3PC ASPHERIC MULTIFOCAL MF LENS IOL ASPHERIC MULTIFOCAL,ABBOTT,ABBOTT
4183627B-8EE9-E9E1-C1BB-CF38FCFA87DC,IHA,NULL,94004,6,VMID,ZMA00U0110,ZMA00U0110,LENS FOLD ZMA00U.11.0D N/STD MULTIFOCAL ACRYLIC TECNIS MF LENS INOCULAR FOLDING,ABBOTT,AMO
